DATEPRD;WELL_BORE_CODE;NPD_WELL_BORE_CODE;NPD_WELL_BORE_NAME;NPD_FIELD_CODE;NPD_FIELD_NAME;NPD_FACILITY_CODE;NPD_FACILITY_NAME;ON_STREAM_HRS;AVG_DOWNHOLE_PRESSURE;AVG_DOWNHOLE_TEMPERATURE;AVG_DP_TUBING;AVG_ANNULUS_PRESS;AVG_CHOKE_SIZE_P;AVG_CHOKE_UOM;AVG_WHP_P;AVG_WHT_P;DP_CHOKE_SIZE;BORE_GAS_VOL;BORE_WAT_VOL;BORE_WI_VOL;FLOW_KIND;WELL_TYPE;BORE_OIL_VOL
10.03.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;15                                                                                                                                                                                                                                                                      ,854;0;0;;production;OP;0
11.03.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;16                                                                                                                                                                                                                                                                      ,275;0;0;;production;OP;0
12.03.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;16                                                                                                                                                                                                                                                                      ,493;0;0;;production;OP;0
13.03.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;17                                                                                                                                                                                                                                                                      ,866;0;0;;production;OP;0
14.03.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;25                                                                                                                                                                                                                                                                      ,396;0;0;;production;OP;0
15.03.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,419;0;0;;production;OP;0
16.03.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,159;0;0;;production;OP;0
17.03.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0                                                                                                                                                                                                                                                                                ,002;;%;0;0              ,001;30                  ,957;0;0;;production;OP;0
18.03.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0                                                                                                                                                                                                                                                                                ,002;;%;0;0              ,001;30                  ,901;0;0;;production;OP;0
19.03.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0                                                                                                                                                                                                                                                                                ,001;;%;0;0;30           ,564;0;0;;production;OP;0
